Whole Person Physiome Table for Pulmonary System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Maria Basil,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4716-1285,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"West’s Respiratory Physiology (11e, 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,10/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.).",,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),Process,Process triple,Function,SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
respiratory system process,respiratory system process,GO:0003059,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,Abnormal Hbs,,,,,,,,,,,,,,,,"MetHb, COHb, HbF, HbS:  Oxidation Fe²⁺→Fe³⁺ (MetHb) ↓binding & release",Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,decreases,X capacity,oxygen binding,,mL·O₂·dL⁻¹,"MetHb, COHb, HbF, HbS", Oxidation Fe²⁺→Fe³⁺ (MetHb) ↓binding & release,Abnormal Hbs,,Cellular,Minutes–hours,Hemoglobin,Hemoglobin test status CPHS,39226-6,Fraction of Carboxyhemoglobin,,,,,,,,,Left-shift impairs offloading,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-49,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003059,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,Abnormal Hbs,,,,,,,,,,,,,,,,"MetHb, COHb, HbF, HbS:  COHb: CO affinity ~240× O₂ → left shift + ↓capacity",Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,decreases,X capacity,oxygen capacity,,mL·O₂·dL⁻¹,"MetHb, COHb, HbF, HbS", COHb: CO affinity ~240× O₂ → left shift + ↓capacity,Abnormal Hbs,,Cellular,Minutes–hours,Hemoglobin,Hemoglobin test status CPHS,39226-6,Fraction of Carboxyhemoglobin,,,,,,,,,Left-shift impairs offloading,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-49,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003059,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,Abnormal Hbs,,,,,,,,,,,,,,,,"MetHb, COHb, HbF, HbS:  HbF: ↑affinity (left shift)",Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,increases,X affinity,oxygen affinity,,mmHg,"MetHb, COHb, HbF, HbS", HbF: ↑affinity (left shift),Abnormal Hbs,,Cellular,Minutes–hours,Hemoglobin,Hemoglobin test status CPHS,39226-6,Fraction of Carboxyhemoglobin,,,,,,,,,Left-shift impairs offloading,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-49,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003060,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,CO₂ forms,carbon monoxide binding,GO:0070025,,,,,,,,,,,,,,"Dissolved, HCO₃⁻, carbamino:  CO₂ + H₂O ↔ H₂CO₃ ↔ H⁺ + HCO₃⁻ (CA in RBC)",Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,does,X formation,bicarbonate formation,,mmol·L⁻¹,"Dissolved, HCO₃⁻, carbamino", CO₂ + H₂O ↔ H₂CO₃ ↔ H⁺ + HCO₃⁻ (CA in RBC),CO₂ forms,,Cellular,Seconds,Cardiac Output,Cardiac output alteration [CCC],28149-3,,,,,,,,,,Gibbs-Donnan/Cl⁻-HCO₃⁻ exchanger,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-50,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003060,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,CO₂ forms,carbon monoxide binding,GO:0070025,,,,,,,,,,,,,,"Dissolved, HCO₃⁻, carbamino:  Carbamino on terminal amines (globin)",Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,does,X formation,carbamino formation,,%,"Dissolved, HCO₃⁻, carbamino", Carbamino on terminal amines (globin),CO₂ forms,,Cellular,Seconds,Cardiac Output,Cardiac output alteration [CCC],28149-3,,,,,,,,,,Gibbs-Donnan/Cl⁻-HCO₃⁻ exchanger,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-50,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003060,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,CO₂ forms,carbon monoxide binding,GO:0070025,,,,,,,,,,,,,,"Dissolved, HCO₃⁻, carbamino:  Chloride shift maintains electroneutrality",Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,does,X process,chloride shift,,mmol·L⁻¹,"Dissolved, HCO₃⁻, carbamino", Chloride shift maintains electroneutrality,CO₂ forms,,Cellular,Seconds,Cardiac Output,Cardiac output alteration [CCC],28149-3,,,,,,,,,,Gibbs-Donnan/Cl⁻-HCO₃⁻ exchanger,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-50,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003061,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Haldane effect,symbiont-mediated disruption of host tissue,GO:0141146,,,,,,,,,,,,,,O₂ation state modulates CO₂ carriage:  DeoxyHb buffers H⁺ better → ↑HCO₃⁻ formation,Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,increases,X formation,bicarbonate,,mmol·L⁻¹,O₂ation state modulates CO₂ carriage, DeoxyHb buffers H⁺ better → ↑HCO₃⁻ formation,Haldane effect,,Cellular,Seconds,Cardiac Output,Cardiac output alteration [CCC],28149-3,,,,,,,,,,Key to efficient CO₂ transport,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-51,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003061,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Haldane effect,symbiont-mediated disruption of host tissue,GO:0141146,,,,,,,,,,,,,,O₂ation state modulates CO₂ carriage:  DeoxyHb binds more CO₂ (carbamino),Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,increases,X binding,carbamino,,mL·dL⁻¹,O₂ation state modulates CO₂ carriage, DeoxyHb binds more CO₂ (carbamino),Haldane effect,,Cellular,Seconds,Cardiac Output,Cardiac output alteration [CCC],28149-3,,,,,,,,,,Key to efficient CO₂ transport,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-51,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003061,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Haldane effect,symbiont-mediated disruption of host tissue,GO:0141146,,,,,,,,,,,,,,O₂ation state modulates CO₂ carriage:  OxyHb releases CO₂,Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,increases,X release,CO₂,,mL·min⁻¹,O₂ation state modulates CO₂ carriage, OxyHb releases CO₂,Haldane effect,,Cellular,Seconds,Cardiac Output,Cardiac output alteration [CCC],28149-3,,,,,,,,,,Key to efficient CO₂ transport,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-51,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003062,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,CO₂ dissociation curve,desmosome disassembly,GO:0035921,,,,,,,,,,,,,,"Shape & implications:  More linear, much steeper than O₂",Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,does,X description,CO₂ dissociation curve,,,Shape & implications," More linear, much steeper than O₂",CO₂ dissociation curve,,Intra-organ,Seconds,Cardiac Output,Cardiac output alteration [CCC],28149-3,,,,,,,,,,Explains CO₂ correction vs O₂,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-52,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003062,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,CO₂ dissociation curve,desmosome disassembly,GO:0035921,,,,,,,,,,,,,,Shape & implications:  O₂ation (Haldane) shifts it rightward/down,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,decreases,X affinity,CO₂ affinity,,,Shape & implications, O₂ation (Haldane) shifts it rightward/down,CO₂ dissociation curve,,Intra-organ,Seconds,Cardiac Output,Cardiac output alteration [CCC],28149-3,,,,,,,,,,Explains CO₂ correction vs O₂,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-52,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003062,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,CO₂ dissociation curve,desmosome disassembly,GO:0035921,,,,,,,,,,,,,,Shape & implications:  Small ΔV̇A changes normalize PaCO₂,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,decreases,X deviation,PaCO₂,,mmHg,Shape & implications, Small ΔV̇A changes normalize PaCO₂,CO₂ dissociation curve,,Intra-organ,Seconds,Cardiac Output,Cardiac output alteration [CCC],28149-3,,,,,,,,,,Explains CO₂ correction vs O₂,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-52,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003063,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Acid–base (H–H equation),,,,,,,,,,,,,,,,Henderson–Hasselbalch:  pH = 6.1 + log( HCO₃⁻ / (0.03×PaCO₂) ),Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory, Kidney",lung,UBERON:0002048,,does,X equivalence to Y,pH,bicarbonate / CO₂ ratio,,Henderson–Hasselbalch, pH = 6.1 + log( HCO₃⁻ / (0.03×PaCO₂) ),Acid–base (H–H equation),,Sytemic,Minutes–days,Cardiac Output,Cardiac output alteration [CCC],28149-3,Base Excess,Base excess in Venous cord blood,104812-3,,,,,,,Respiratory vs metabolic compensation,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-53,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003063,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Acid–base (H–H equation),,,,,,,,,,,,,,,,Henderson–Hasselbalch:  Ratio ≈ 20 → pH ≈ 7.40,Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory, Kidney",lung,UBERON:0002048,,does,X reference,buffer ratio,,,Henderson–Hasselbalch, Ratio ≈ 20 → pH ≈ 7.40,Acid–base (H–H equation),,Sytemic,Minutes–days,Cardiac Output,Cardiac output alteration [CCC],28149-3,Base Excess,Base excess in Venous cord blood,104812-3,,,,,,,Respiratory vs metabolic compensation,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-53,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003063,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Acid–base (H–H equation),,,,,,,,,,,,,,,,Henderson–Hasselbalch:  Lung sets PaCO₂; kidney sets HCO₃⁻,Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory, Kidney",lung,UBERON:0002048,,does,X regulation,acid–base,,,Henderson–Hasselbalch, Lung sets PaCO₂; kidney sets HCO₃⁻,Acid–base (H–H equation),,Sytemic,Minutes–days,Cardiac Output,Cardiac output alteration [CCC],28149-3,Base Excess,Base excess in Venous cord blood,104812-3,,,,,,,Respiratory vs metabolic compensation,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-53,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003064,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Davenport diagram,,,,,,,,,,,,,,,,Visualize disorders:  Buffer line (whole blood) BAC,Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory, Kidney",lung,UBERON:0002048,,does,X description,buffer line,,,Visualize disorders, Buffer line (whole blood) BAC,Davenport diagram,,Sytemic,Minutes–days,Base Excess,Base excess in Venous cord blood,104812-3,Bicarbonate Ion,,,,,,,,,Integrates primary & compensation,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-54,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003064,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Davenport diagram,,,,,,,,,,,,,,,,Visualize disorders:  Isopleths: constant PaCO₂,Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory, Kidney",lung,UBERON:0002048,,does,X relation,isopleth,,,Visualize disorders, Isopleths: constant PaCO₂,Davenport diagram,,Sytemic,Minutes–days,Base Excess,Base excess in Venous cord blood,104812-3,Bicarbonate Ion,,,,,,,,,Integrates primary & compensation,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-54,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003064,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Davenport diagram,,,,,,,,,,,,,,,,Visualize disorders:  Base excess = vertical shift,Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory, Kidney",lung,UBERON:0002048,,does,X equivalence to Y,base excess,vertical shift,mmol·L⁻¹,Visualize disorders, Base excess = vertical shift,Davenport diagram,,Sytemic,Minutes–days,Base Excess,Base excess in Venous cord blood,104812-3,Bicarbonate Ion,,,,,,,,,Integrates primary & compensation,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-54,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003065,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Tissue diffusion & PO₂,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,Delivery vs utilization:  Capillary spacing ~50 μm at rest,Tissue,Lung,lung,UBERON:0002048,Capillary beds,pulmonary capillary,UBERON:0016405,,does,X description,capillary spacing,,µm,Delivery vs utilization, Capillary spacing ~50 μm at rest,Tissue diffusion & PO₂,,Segmental (intra-organ),Seconds–minutes,Oxygen Delivery,Oxygen delivery additional details Narrative,107115-8,Oxygen,Oxygen saturation in Blood,20564-1,,,,,,,Diffusion & metabolic limits,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-55,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003065,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Tissue diffusion & PO₂,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,"Delivery vs utilization:  Exercise opens capillaries → distance ↓, area ↑",Tissue,Lung,lung,UBERON:0002048,Capillary beds,pulmonary capillary,UBERON:0016405,,decreases,X distance,diffusion distance,,µm,Delivery vs utilization," Exercise opens capillaries → distance ↓, area ↑",Tissue diffusion & PO₂,,Segmental (intra-organ),Seconds–minutes,Oxygen Delivery,Oxygen delivery additional details Narrative,107115-8,Oxygen,Oxygen saturation in Blood,20564-1,,,,,,,Diffusion & metabolic limits,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-55,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003065,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Tissue diffusion & PO₂,receptor diffusion trapping,GO:0098953,,,,,,,,,,,,,,Delivery vs utilization:  Myoglobin facilitates intracellular O₂ movement,Tissue,Lung,lung,UBERON:0002048,Capillary beds,pulmonary capillary,UBERON:0016405,,increases,X transport,intracellular oxygen,,mol·s⁻¹,Delivery vs utilization, Myoglobin facilitates intracellular O₂ movement,Tissue diffusion & PO₂,,Segmental (intra-organ),Seconds–minutes,Oxygen Delivery,Oxygen delivery additional details Narrative,107115-8,Oxygen,Oxygen saturation in Blood,20564-1,,,,,,,Diffusion & metabolic limits,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-55,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003066,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Types of hypoxia,detection of hypoxia,GO:0070483,,,,,,,,,,,,,,Hypoxic / anemic / circulatory / histotoxic:  Hypoxic: PaO₂ ↓ (lung),Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung,UBERON:0002048,,decreases,X process,arterial oxygen,,mmHg,Hypoxic / anemic / circulatory / histotoxic, Hypoxic: PaO₂ ↓ (lung),Types of hypoxia,,Sytemic,Minutes–hours,Arterial Oxygen Pressure,,,Arterial Oxygen Content,,,,,,,,,Mechanism-specific responses,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-56,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003066,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Types of hypoxia,detection of hypoxia,GO:0070483,,,,,,,,,,,,,,"Hypoxic / anemic / circulatory / histotoxic:  Anemic: Hb ↓/dysfunctional (CO, MetHb)",Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung,UBERON:0002048,,decreases,X content,oxygen content,,mL·O₂·dL⁻¹,Hypoxic / anemic / circulatory / histotoxic," Anemic: Hb ↓/dysfunctional (CO, MetHb)",Types of hypoxia,,Sytemic,Minutes–hours,Arterial Oxygen Pressure,,,Arterial Oxygen Content,,,,,,,,,Mechanism-specific responses,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-56,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003066,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Types of hypoxia,detection of hypoxia,GO:0070483,,,,,,,,,,,,,,Hypoxic / anemic / circulatory / histotoxic:  Circulatory: Q̇ ↓ (shock/local),Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung,UBERON:0002048,,decreases,X transport,oxygen,,mL·O₂·min⁻¹,Hypoxic / anemic / circulatory / histotoxic, Circulatory: Q̇ ↓ (shock/local),Types of hypoxia,,Sytemic,Minutes–hours,Arterial Oxygen Pressure,,,Arterial Oxygen Content,,,,,,,,,Mechanism-specific responses,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-56,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003066,Gas Transport by the Blood,gas transport,GO:0015669,Carbon dioxide carriage,carbon dioxide binding,GO:1902670,Types of hypoxia,detection of hypoxia,GO:0070483,,,,,,,,,,,,,,Hypoxic / anemic / circulatory / histotoxic:  Histotoxic: utilization blocked (cyanide),Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,hypoxia,decreases,X utilization,oxygen,,mL·O₂·min⁻¹,Hypoxic / anemic / circulatory / histotoxic, Histotoxic: utilization blocked (cyanide),Types of hypoxia,Systemic,Sytemic,Minutes–hours,Arterial Oxygen Pressure,,,Arterial Oxygen Content,,,,,,,,,Mechanism-specific responses,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-56,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003067,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Inspiration mechanics,,,,,,,,,,,,,,,,Diaphragm and intercostal contraction:  Diaphragm contracts → thorax volume ↑ → intrapleural P ↓ ,Tissue,Thorax,thoracic cavity,UBERON:0002224,Intercostal muscles,internal intercostal muscle,UBERON:0002403,,decreases,X process,intrapleural pressure,,cmH₂O,Diaphragm and intercostal contraction, Diaphragm contracts → thorax volume ↑ → intrapleural P ↓ ,Inspiration mechanics,,Intra-organ,Seconds,Chest motion,,,Transdiaphragmatic Pressure,,,,,,,,,Neural (Phrenic C3–C5) activation,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-57,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003067,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Inspiration mechanics,,,,,,,,,,,,,,,,Diaphragm and intercostal contraction:  External intercostals ↑ AP/lateral diameters ,Tissue,Thorax,thoracic cavity,UBERON:0002224,external intercostal muscle,external intercostal muscle,UBERON:0005441,,increases,X process,thoracic volume,,L,Diaphragm and intercostal contraction, External intercostals ↑ AP/lateral diameters ,Inspiration mechanics,,Intra-organ,Seconds,Chest motion,,,Transdiaphragmatic Pressure,,,,,,,,,Neural (Phrenic C3–C5) activation,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-57,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003067,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Inspiration mechanics,,,,,,,,,,,,,,,,Diaphragm and intercostal contraction:  Accessory muscles (active in exercise),Tissue,Thorax,thoracic cavity,UBERON:0002224,Intercostal muscles,intercostal muscle,UBERON:0001111,,increases,X process,inspiratory effort,,cmH₂O,Diaphragm and intercostal contraction, Accessory muscles (active in exercise),Inspiration mechanics,,Intra-organ,Seconds,Chest motion,,,Transdiaphragmatic Pressure,,,,,,,,,Neural (Phrenic C3–C5) activation,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-57,7,,,,,,,,,
respiratory system process,respiratory system process,GO:0003068,Mechanics of Breathing,respiratory gaseous exchange by respiratory system,GO:0007585,Lung compliance & elasticity,lung field specification,GO:0060424,Expiration mechanics,,,,,,,,,,,,,,,,Elastic recoil and abdominal muscles:  Passive recoil → quiet expiration ,Tissue,Lung & chest wall,lung,UBERON:0002048,lung elastic tissue,lung elastic tissue,UBERON:0003615,,does,X process,passive expiration,,L·s⁻¹,Elastic recoil and abdominal muscles, Passive recoil → quiet expiration ,Expiration mechanics,,Intra-organ,Seconds,Flow–volume curve,,,,,,,,,,,,Recoil forces vs airway P,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-58,7,,,,,,,,,
